id,gouvernement,code_fonction,prenom,nom,fonction,date_debut_fonction,date_fin_fonction
532,François Fillon n°1,PM,François,Fillon,Premier ministre,2007-05-18,2007-06-18
532,François Fillon n°1,ME,Alain,Juppé,"Ministre d'État, Ministre de l'écologie, du développement et de l'aménagement durables",2007-05-18,2007-06-18
532,François Fillon n°1,M,Rachida,Dati,"Garde des sceaux, ministre de la justice",2007-05-18,2007-06-18
532,François Fillon n°1,M,Christine,Albanel,"Ministre de la culture et de la communication, porte-parole du Gouvernement",2007-05-18,2007-06-18
532,François Fillon n°1,M,Hervé,Morin,Ministre de la défense,2007-05-18,2007-06-18
532,François Fillon n°1,M,Roselyne,Bachelot-Narquin,"Ministre de la santé, de la jeunesse et des sports",2007-05-18,2007-06-18
532,François Fillon n°1,M,Christine,Lagarde,Ministre de l'agriculture et de la pêche,2007-05-18,2007-06-18
532,François Fillon n°1,M,Jean-Louis,Borloo,"Ministre de l'économie, des finances et de l'emploi",2007-05-18,2007-06-18
532,François Fillon n°1,M,Xavier,Darcos,Ministre de l'éducation nationale,2007-05-18,2007-06-18
532,François Fillon n°1,M,Valérie,Pécresse,Ministre de l'enseignement supérieur et de la recherche,2007-05-18,2007-06-18
532,François Fillon n°1,M,Brice,Hortefeux,"Ministre de l'immigration, de l'intégration, de l'identité nationale et du codéveloppement",2007-05-18,2007-06-18
532,François Fillon n°1,M,Michèle,Alliot-Marie,"Ministre de l'intérieur, de l'outre-mer et des collectivités territoriales",2007-05-18,2007-06-18
532,François Fillon n°1,M,Bernard,Kouchner,Ministre des affaires étrangères et européennes,2007-05-18,2007-06-18
532,François Fillon n°1,M,Éric,Woerth,"Ministre du budget, des comptes publics et de la fonction publique",2007-05-18,2007-06-18
532,François Fillon n°1,M,Christine,Boutin,Ministre du logement et de la ville,2007-05-18,2007-06-18
532,François Fillon n°1,M,Xavier,Bertrand,"Ministre du travail, des relations sociales et de la solidarité",2007-05-18,2007-06-18
532,François Fillon n°1,SE,Jean-Pierre,Jouyet,"Secrétaire d'État auprès du Ministre des affaires étrangères et européennes, chargé des affaires européennes",2007-05-18,2007-06-18
532,François Fillon n°1,SE,Dominique,Bussereau,"Secrétaire d'État auprès du ministre d'État, Ministre de l'écologie, du développement et de l'aménagement durables, chargé des transports",2007-05-18,2007-06-18
532,François Fillon n°1,SE,Éric,Besson,"Secrétaire d'État auprès du Premier ministre, chargé de la prospective et de l'évaluation des politiques publiques",2007-05-18,2007-06-18
532,François Fillon n°1,SE,Roger,Karoutchi,"Secrétaire d'État auprès du Premier ministre, chargé des relations avec le Parlement",2007-05-18,2007-06-18
532,François Fillon n°1,HC,Martin,Hirsch,Haut-commissaire aux solidarités actives contre la pauvreté auprès du Premier ministre,2007-05-18,2007-06-18
533,François Fillon n°2,PM,François,Fillon,Premier ministre,2007-06-19,2010-11-13
533,François Fillon n°2,ME,Jean-Louis,Borloo,"Ministre d'État, Ministre de l'écologie, du développement et de l'aménagement durables",2007-06-19,2008-03-18
533,François Fillon n°2,M,Rachida,Dati,"Garde des sceaux, ministre de la justice",2007-06-19,2009-06-23
533,François Fillon n°2,M,Christine,Albanel,Ministre de la culture et de la communication,2007-06-19,2009-06-23
533,François Fillon n°2,M,Hervé,Morin,Ministre de la défense,2007-06-19,2010-11-13
